feature,importance_gain,importance_split
EXT_SOURCE_3,556302.5093288422,1276
EXT_SOURCE_2,452159.0005168915,1248
EXT_SOURCE_1,173553.54486846924,1032
DAYS_BIRTH,129065.95208930969,1229
AMT_CREDIT,105498.46999454498,1170
AMT_ANNUITY,98341.20623970032,1127
DAYS_EMPLOYED,94682.55784034729,950
AMT_GOODS_PRICE,90913.98377799988,886
DAYS_ID_PUBLISH,60420.41694831848,894
DAYS_LAST_PHONE_CHANGE,52035.29339981079,787
DAYS_REGISTRATION,44579.82072162628,763
NAME_EDUCATION_TYPE_Higher_education,37770.390172958374,144
AMT_INCOME_TOTAL,34595.025844573975,611
CODE_GENDER_F,33755.463804244995,170
REGION_POPULATION_RELATIVE,32121.842067718506,539
OWN_CAR_AGE,30048.841598510742,344
NAME_CONTRACT_TYPE_Cash_loans,18477.337635040283,160
HOUR_APPR_PROCESS_START,18114.728103637695,343
FLAG_DOCUMENT_3,16834.030546188354,117
REGION_RATING_CLIENT_W_CITY,16729.36820602417,136
AMT_REQ_CREDIT_BUREAU_YEAR,16152.107667922974,245
TOTALAREA_MODE,15121.700988769531,214
NAME_FAMILY_STATUS_Married,14008.814781188965,143
NAME_EDUCATION_TYPE_Secondary_secondary_special,12683.22509765625,86
DEF_60_CNT_SOCIAL_CIRCLE,11944.374122619629,126
CODE_GENDER_M,11402.817121505737,66
FLAG_OWN_CAR_N,11354.417037963867,87
AMT_REQ_CREDIT_BUREAU_QRT,10848.686003684998,144
LIVINGAREA_MODE,10820.508180618286,162
APARTMENTS_MODE,10485.294275283813,159
NAME_INCOME_TYPE_Working,10219.044017791748,55
YEARS_BEGINEXPLUATATION_MODE,9926.13090133667,154
OBS_60_CNT_SOCIAL_CIRCLE,9710.148426055908,161
BASEMENTAREA_AVG,9578.939619064331,165
BASEMENTAREA_MODE,9406.06351852417,159
OBS_30_CNT_SOCIAL_CIRCLE,9371.919527053833,161
LANDAREA_AVG,9347.396598815918,158
NONLIVINGAREA_AVG,9339.69927406311,172
APARTMENTS_AVG,8772.206573486328,141
LIVINGAREA_AVG,8547.618028640747,128
YEARS_BEGINEXPLUATATION_AVG,8060.81782913208,145
LANDAREA_MODE,8048.029399871826,139
DEF_30_CNT_SOCIAL_CIRCLE,8045.059278488159,85
NONLIVINGAREA_MODE,7955.844476699829,130
REG_CITY_NOT_LIVE_CITY,7855.296962738037,79
ENTRANCES_AVG,7487.077079772949,116
NONLIVINGAREA_MEDI,7408.295969009399,130
COMMONAREA_MODE,7284.451190948486,128
AMT_REQ_CREDIT_BUREAU_HOUR,7219.382722854614,61
BASEMENTAREA_MEDI,7049.104909896851,104
LIVINGAREA_MEDI,7033.649299621582,101
COMMONAREA_AVG,6955.547214508057,124
YEARS_BEGINEXPLUATATION_MEDI,6594.6961097717285,101
LANDAREA_MEDI,6545.445770263672,101
APARTMENTS_MEDI,6539.540491104126,100
FLOORSMAX_AVG,6304.403301239014,86
CNT_FAM_MEMBERS,6179.624495506287,101
YEARS_BUILD_MODE,6041.07480430603,101
OCCUPATION_TYPE_Core_staff,6028.711204528809,65
REGION_RATING_CLIENT,5995.907196044922,50
YEARS_BUILD_AVG,5526.650577545166,93
FLAG_WORK_PHONE,5501.602932929993,85
COMMONAREA_MEDI,5478.088403701782,96
YEARS_BUILD_MEDI,5475.425998687744,78
LIVINGAPARTMENTS_AVG,5328.580816268921,94
ORGANIZATION_TYPE_Self_employed,5205.390493392944,76
NAME_CONTRACT_TYPE_Revolving_loans,5060.957702636719,32
AMT_REQ_CREDIT_BUREAU_MON,5040.980690002441,82
LIVINGAPARTMENTS_MODE,5006.735702514648,86
ELEVATORS_AVG,4591.642301559448,74
NONLIVINGAPARTMENTS_AVG,3945.7709999084473,61
FLAG_EMP_PHONE,3651.405523300171,17
NONLIVINGAPARTMENTS_MODE,3486.7894048690796,63
FLOORSMAX_MEDI,3431.019916534424,41
FLOORSMIN_AVG,3259.593204498291,58
OCCUPATION_TYPE_Laborers,3253.169288635254,46
ORGANIZATION_TYPE_School,3208.5774154663086,47
ORGANIZATION_TYPE_Construction,3195.4753971099854,52
NAME_TYPE_SUITE_Unaccompanied,3187.272602081299,56
NAME_INCOME_TYPE_State_servant,3131.5912704467773,46
LIVINGAPARTMENTS_MEDI,3010.5330772399902,49
FLAG_PHONE,3009.953393936157,47
NAME_HOUSING_TYPE_House_apartment,2978.8939838409424,46
ORGANIZATION_TYPE_Industry_type_9,2976.82368850708,47
FLAG_DOCUMENT_16,2952.7381048202515,44
NAME_INCOME_TYPE_Pensioner,2936.9616680145264,8
ENTRANCES_MODE,2911.174991607666,53
OCCUPATION_TYPE_Drivers,2881.873399734497,44
CNT_CHILDREN,2812.0851821899414,54
OCCUPATION_TYPE_Accountants,2773.301803588867,43
FLAG_DOCUMENT_18,2733.157388687134,46
NAME_FAMILY_STATUS_Single_not_married,2656.811679840088,44
ORGANIZATION_TYPE_Military,2626.96360206604,43
OCCUPATION_TYPE_Sales_staff,2618.119010925293,27
FLAG_DOCUMENT_13,2608.7242851257324,33
ELEVATORS_MODE,2604.6234016418457,38
ORGANIZATION_TYPE_Business_Entity_Type_3,2442.3755016326904,44
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,2287.7485008239746,38
ORGANIZATION_TYPE_Transport_type_3,2285.4134101867676,38
OCCUPATION_TYPE_nan,2270.7339038848877,26
WEEKDAY_APPR_PROCESS_START_MONDAY,2258.3994970321655,49
FLOORSMAX_MODE,2203.755905151367,32
OCCUPATION_TYPE_High_skill_tech_staff,2162.4233894348145,34
OCCUPATION_TYPE_Low_skill_Laborers,2084.1135177612305,34
NONLIVINGAPARTMENTS_MEDI,2058.5380859375,40
ENTRANCES_MEDI,2022.165714263916,35
ORGANIZATION_TYPE_Trade_type_2,1977.3637104034424,34
NAME_TYPE_SUITE_Family,1939.0034141540527,38
AMT_REQ_CREDIT_BUREAU_DAY,1937.717809677124,27
WALLSMATERIAL_MODE_Stone_brick,1890.8260917663574,40
OCCUPATION_TYPE_Managers,1852.2376766204834,35
FLAG_OWN_CAR_Y,1791.3307914733887,15
FLAG_OWN_REALTY_N,1788.712604522705,33
NAME_HOUSING_TYPE_Office_apartment,1702.0230884552002,33
WEEKDAY_APPR_PROCESS_START_SATURDAY,1661.6982021331787,33
NAME_FAMILY_STATUS_Widow,1648.2086067199707,32
FLOORSMIN_MEDI,1639.9251117706299,26
WEEKDAY_APPR_PROCESS_START_FRIDAY,1436.0357933044434,26
WEEKDAY_APPR_PROCESS_START_THURSDAY,1410.8501987457275,28
AMT_REQ_CREDIT_BUREAU_WEEK,1395.0761947631836,24
ORGANIZATION_TYPE_Kindergarten,1382.2664108276367,28
NAME_HOUSING_TYPE_Rented_apartment,1353.8298149108887,22
FLAG_DOCUMENT_8,1324.3194046020508,28
ORGANIZATION_TYPE_Realtor,1302.4697036743164,28
ORGANIZATION_TYPE_Other,1270.3996028900146,27
NAME_INCOME_TYPE_Commercial_associate,1270.2307987213135,25
ORGANIZATION_TYPE_Medicine,1211.958402633667,21
FLAG_DOCUMENT_11,1208.263198852539,17
NAME_FAMILY_STATUS_Separated,1204.0979118347168,17
WEEKDAY_APPR_PROCESS_START_TUESDAY,1175.4140892028809,26
ORGANIZATION_TYPE_Government,1167.8909187316895,22
ORGANIZATION_TYPE_Transport_type_4,1164.0550060272217,21
NAME_EDUCATION_TYPE_Incomplete_higher,1163.2519931793213,22
NAME_FAMILY_STATUS_Civil_marriage,1154.6449947357178,25
WALLSMATERIAL_MODE_Panel,1144.5317001342773,18
NAME_TYPE_SUITE_Spouse_partner,1106.3369026184082,18
OCCUPATION_TYPE_Security_staff,1101.7769012451172,18
ORGANIZATION_TYPE_Security_Ministries,1050.5247993469238,21
NAME_HOUSING_TYPE_Municipal_apartment,1023.5998115539551,20
FONDKAPREMONT_MODE_not_specified,1020.0723991394043,17
FLOORSMIN_MODE,1015.34450340271,18
REG_CITY_NOT_WORK_CITY,990.9958152770996,16
NAME_HOUSING_TYPE_With_parents,985.6584892272949,19
NAME_EDUCATION_TYPE_Lower_secondary,979.3893032073975,24
OCCUPATION_TYPE_Private_service_staff,972.9900932312012,15
ORGANIZATION_TYPE_Police,971.236891746521,18
ELEVATORS_MEDI,930.0678958892822,18
FLAG_EMAIL,918.7616081237793,17
ORGANIZATION_TYPE_Business_Entity_Type_1,888.9324989318848,18
OCCUPATION_TYPE_Cleaning_staff,881.6422004699707,15
REG_REGION_NOT_LIVE_REGION,867.5192108154297,13
WEEKDAY_APPR_PROCESS_START_SUNDAY,850.8962020874023,17
FLAG_DOCUMENT_6,797.7914905548096,14
REG_REGION_NOT_WORK_REGION,773.8604965209961,15
LIVE_REGION_NOT_WORK_REGION,762.7246990203857,15
FLAG_DOCUMENT_14,723.9465026855469,14
NAME_EDUCATION_TYPE_Academic_degree,717.4560947418213,21
OCCUPATION_TYPE_Medicine_staff,711.161808013916,13
WALLSMATERIAL_MODE_Block,661.113000869751,12
ORGANIZATION_TYPE_Trade_type_7,621.8854026794434,13
FLAG_DOCUMENT_15,558.1042995452881,15
FONDKAPREMONT_MODE_nan,558.0584983825684,7
ORGANIZATION_TYPE_Business_Entity_Type_2,540.1543045043945,11
LIVE_CITY_NOT_WORK_CITY,532.5055027008057,12
NAME_TYPE_SUITE_Children,509.500301361084,7
ORGANIZATION_TYPE_Hotel,505.7573051452637,10
FONDKAPREMONT_MODE_reg_oper_spec_account,501.72270011901855,11
FLAG_DOCUMENT_5,500.0552978515625,11
ORGANIZATION_TYPE_Trade_type_6,475.2640953063965,9
